,Accuracy,Precision,Recall,F1-score,AUC
LogisticRegression,0.8039772727272727,0.6601307189542484,0.5401069518716578,0.5941176470588235,0.8423584749531956
SVM,0.7940340909090909,0.6521739130434783,0.48128342245989303,0.5538461538461539,0.789366098118516
KNN,0.7613636363636364,0.5524861878453039,0.5347593582887701,0.5434782608695652,0.7753299579019228
RandomForest,0.7848011363636364,0.6254416961130742,0.4732620320855615,0.5388127853881278,0.8179322810537966
MLP,0.7627840909090909,0.5581395348837209,0.5133689839572193,0.5348189415041783,0.7880731596313574
Dummy,0.734375,0.0,0.0,0.0,0.5
